country,sex,age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Bulgaria,Female,10,5,0.000161998,2.536709243,0.000809669,99218.30377,80.33399221,495893.6329,0.998984572,6819575.22,68.73303575
Bulgaria,Female,15,5,0.000301954,2.996052413,0.001508857,99137.96978,149.5849861,495390.0884,0.998100905,6323681.587,63.7866763
Bulgaria,Female,20,5,0.000380017,2.378227131,0.001898192,98988.3848,187.898983,494449.2955,0.998082855,5828291.499,58.87853924
Bulgaria,Female,25,5,0.000425979,2.616486935,0.002127732,98800.48581,210.2209815,493501.3646,0.997313833,5333842.203,53.98599166
Bulgaria,Female,30,5,0.000622012,2.466554412,0.003105164,98590.26483,306.1389762,492175.7377,0.996233826,4840340.839,49.09552527
Bulgaria,Female,35,5,0.00096982,2.689893675,0.004838258,98284.12586,475.5239615,490322.1184,0.993509248,4348165.101,44.24076689
Bulgaria,Female,40,5,0.001709364,2.714119391,0.008513555,97808.60189,832.6989321,487139.5591,0.988854348,3857842.982,39.44277812
Bulgaria,Female,45,5,0.002852379,2.693305776,0.014168673,96975.90296,1374.019892,481710.0711,0.982801731,3370703.423,34.75815456
Bulgaria,Female,50,5,0.004154926,2.669643039,0.020575409,95601.88307,1967.047849,473425.4917,0.973311896,2888993.352,30.2190005
Bulgaria,Female,55,5,0.006692655,2.605797089,0.032935528,93634.83522,3083.912774,460790.6632,0.960555502,2415567.861,25.79774776
Bulgaria,Female,60,5,0.009656278,2.627615166,0.047200113,90550.92245,4274.013748,442615.0068,0.942628623,1954777.197,21.58760115
Bulgaria,Female,65,5,0.014579197,2.671619578,0.070502708,86276.9087,6082.75567,417221.5743,0.908207828,1512162.191,17.52684714
Bulgaria,Female,70,5,0.025386011,2.708075128,0.11995097,80194.15303,9619.366442,378923.8999,0.841194675,1094940.616,13.65362155
Bulgaria,Female,75,5,0.046108668,2.678099103,0.208248326,70574.78659,14697.08118,318748.7669,0.554830551,716016.7164,10.1455031
Bulgaria,Female,80,5,0.140654955,7.109596691,1,55877.7054,55877.7054,397267.9494,0,397267.9494,7.109596691
Bulgaria,Male,0,1,0.007160002,0.14,0.007116183,100000,711.6183053,99388.00826,0.992537216,7122407.387,71.22407387
Bulgaria,Male,1,4,0.000285033,1.587364309,0.001139348,99288.38169,113.1239711,396880.5998,0.99848837,7023019.378,70.73354665
Bulgaria,Male,5,5,0.000264018,2.264649223,0.001319139,99175.25772,130.8259665,495518.4337,0.998823678,6626138.778,66.81241804
Bulgaria,Male,10,5,0.000218006,2.343677887,0.0010894,99044.43176,107.8989722,494935.5444,0.998111207,6130620.345,61.897678
Bulgaria,Male,15,5,0.000643851,2.855926345,0.003214818,98936.53278,318.0629175,494000.7136,0.996149705,5635684.8,56.96262687
Bulgaria,Male,20,5,0.000839931,2.595899395,0.004191192,98618.46987,413.3288943,492098.6651,0.995221883,5141684.087,52.13713104
Bulgaria,Male,25,5,0.00102804,2.460981563,0.005126818,98205.14097,503.4798727,489747.3602,0.994277596,4649585.422,47.34564174
Bulgaria,Male,30,5,0.001439436,2.769410751,0.007174144,97701.6611,700.9258199,486944.8279,0.991571574,4159838.061,42.57694306
Bulgaria,Male,35,5,0.001887535,2.626643254,0.009395586,97000.73528,911.3787688,482840.6495,0.987995984,3672893.234,37.86459167
Bulgaria,Male,40,5,0.003205108,2.774881948,0.01591206,96089.35651,1528.979611,477044.6224,0.977744742,3190052.584,33.19881306
Bulgaria,Male,45,5,0.005970045,2.710973157,0.029447802,94560.3769,2784.595285,466427.8711,0.961548556,2713007.962,28.69074818
Bulgaria,Male,50,5,0.010122128,2.712215996,0.049465162,91775.78162,4539.703861,448493.0462,0.938262955,2246580.091,24.47900798
Bulgaria,Male,55,5,0.015816418,2.689774659,0.076294333,87236.07775,6655.618335,420804.4106,0.903670736,1798087.044,20.61173646
Bulgaria,Male,60,5,0.024424956,2.563139861,0.11526423,80580.45942,9288.044617,380268.6314,0.864978009,1377282.634,17.09201764
Bulgaria,Male,65,5,0.034526936,2.575177813,0.159297984,71292.4148,11356.73798,328924.0038,0.812420612,997014.0023,13.98485386
